rank,finalWorth,category,personName,country,city,source,industries,organization,selfMade,status,gender,lastName,firstName,title,date,countryOfCitizenship,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
497,5300,Real Estate,Rick Caruso,United States,Los Angeles,Real estate,Real Estate,,TRUE,U,M,Caruso,Rick,,04-04-2023 05:01,United States,California,West,1959,1,7,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
497,5300,Manufacturing,Ibrahim Erdemoglu,Turkey,Istanbul,Carpet,Manufacturing,,TRUE,U,M,Erdemoglu,Ibrahim,,04-04-2023 05:01,Turkey,,,1962,9,26,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322
497,5300,Finance & Investments,Elizabeth Johnson,United States,Boston,Fidelity,Finance & Investments,,FALSE,U,F,Johnson,Elizabeth,,04-04-2023 05:01,United States,Massachusetts,Northeast,1963,5,7,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
497,5300,Finance & Investments,Douglas Leone,United States,Atherton,Venture capital,Finance & Investments,Sequoia,TRUE,D,M,Leone,Douglas,Global Managing Partner,04-04-2023 05:01,United States,California,West,1957,7,4,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
497,5300,Diversified,Prajogo Pangestu,Indonesia,Jakarta,Petrochemicals,Diversified,,FALSE,D,M,Pangestu,Prajogo,,04-04-2023 05:01,Indonesia,,,1944,5,13,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
497,5300,Finance & Investments,Thomas Pritzker,United States,Chicago,"Hotels, investments",Finance & Investments,Hyatt Hotels,FALSE,U,M,Pritzker,Thomas,Executive Chairman,04-04-2023 05:01,United States,Illinois,Midwest,1950,6,6,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
497,5300,Food & Beverage,Lynda Resnick,United States,Beverly Hills,Agriculture,Food & Beverage,,TRUE,Split Family Fortune,F,Resnick,Lynda,,04-04-2023 05:01,United States,California,West,1943,1,2,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
497,5300,Food & Beverage,Stewart Resnick,United States,Beverly Hills,Agriculture,Food & Beverage,,TRUE,Split Family Fortune,M,Resnick,Stewart,,04-04-2023 05:01,United States,California,West,1936,12,24,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
497,5300,Service,Gary Rollins,United States,Atlanta,Pest control,Service,,FALSE,E,M,Rollins,Gary,,04-04-2023 05:01,United States,Georgia,South,1944,8,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
497,5300,Finance & Investments,Mark Walter,United States,Chicago,"Finance, asset management",Finance & Investments,Guggenheim Partners LLC,TRUE,U,M,Walter,Mark,CEO,04-04-2023 05:01,United States,Illinois,Midwest,1960,5,22,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
497,5300,Manufacturing,Ronald Wanek,United States,Saint Petersburg,Furniture,Manufacturing,,TRUE,D,M,Wanek,Ronald,,04-04-2023 05:01,United States,Florida,South,1941,5,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
497,5300,Food & Beverage,Erich Wesjohann & family,Germany,Visbek,Poultry genetics,Food & Beverage,,TRUE,D,M,Wesjohann,Erich,,04-04-2023 05:01,Germany,,,1945,6,2,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
497,5300,Fashion & Retail,M.A. Yusuff Ali,United Arab Emirates,Abu Dhabi,Retail,Fashion & Retail,,TRUE,D,M,Yusuff Ali,M.A.,,04-04-2023 05:01,India,,,1955,11,15,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818
511,5200,Finance & Investments,Alexandre Behring,United States,Greenwich,Investments,Finance & Investments,,TRUE,U,M,Behring,Alexandre,,04-04-2023 05:01,Brazil,Connecticut,Northeast,1967,2,20,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
511,5200,Food & Beverage,Cheng Xue,China,Foshan,Soy sauce,Food & Beverage,,TRUE,D,F,Cheng,Xue,,04-04-2023 05:01,China,,,1970,2,26,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
511,5200,Real Estate,Robert Faith,United States,Charleston,Real estate management,Real Estate,,TRUE,N,M,Faith,Robert,,04-04-2023 05:01,United States,South Carolina,South,1963,10,3,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
511,5200,Fashion & Retail,Gao Dekang & family,China,Changshu,Apparel,Fashion & Retail,,TRUE,U,M,Gao,Dekang,,04-04-2023 05:01,China,,,1952,2,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
511,5200,Fashion & Retail,Micky Jagtiani,United Arab Emirates,Dubai,Retail,Fashion & Retail,,FALSE,U,M,Jagtiani,Micky,,04-04-2023 05:01,India,,,1951,9,28,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818
511,5200,Telecom,Ananda Krishnan,Malaysia,Kuala Lumpur,"Telecoms, media, oil-services",Telecom,,TRUE,D,M,Krishnan,Ananda,,04-04-2023 05:01,Malaysia,,,1938,4,1,121.46,0.7,"$364,701,517,788 ",45.1,105.3,76,12,38.7,32447385,4.210484,101.975766
511,5200,Technology,Barry Lam,Taiwan,Taipei,Electronics,Technology,,TRUE,D,M,Lam,Barry,,04-04-2023 05:01,Taiwan,,,1949,4,24,,,,,,,,,,,
511,5200,Food & Beverage,"Robert Rich, Jr.",United States,Islamorada,Frozen foods,Food & Beverage,,FALSE,U,M,Rich,Robert,,04-04-2023 05:01,United States,Florida,South,1941,1,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
511,5200,Gambling & Casinos,Mark Scheinberg,United Kingdom,Isle of Man,Online gambling,Gambling & Casinos,,TRUE,D,M,Scheinberg,Mark,,04-04-2023 05:01,Canada,,,1973,12,27,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
511,5200,Technology,Charles Simonyi,United States,Medina,Microsoft,Technology,,TRUE,D,M,Simonyi,Charles,,04-04-2023 05:01,United States,Washington,West,1948,9,10,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
511,5200,Real Estate,Ty Warner,United States,Oak Brook,"Plush toys, real estate",Real Estate,,TRUE,U,M,Warner,Ty,,04-04-2023 05:01,United States,Illinois,Midwest,1944,9,3,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
511,5200,Real Estate,Sam Zell,United States,Chicago,"Real estate, private equity",Real Estate,,TRUE,D,M,Zell,Sam,,04-04-2023 05:01,United States,Illinois,,1941,9,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
523,5100,Manufacturing,Fang Wei,China,Beijing,Steel,Manufacturing,,TRUE,U,M,Fang,Wei,,04-04-2023 05:01,China,,,1973,9,4,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
523,5100,Finance & Investments,Rekha Jhunjhunwala,India,Mumbai,Investments,Finance & Investments,,FALSE,N,F,Jhunjhunwala,Rekha,,04-04-2023 05:01,India,,,1963,9,12,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
523,5100,Finance & Investments,Charles B. Johnson,United States,Palm Beach,Franklin Templeton,Finance & Investments,Franklin Resources Inc.,FALSE,E,M,Johnson,Charles B.,Former Chairman and CEO,04-04-2023 05:01,United States,Florida,South,1933,1,6,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
523,5100,Media & Entertainment,Kwon Hyuk-bin,South Korea,Seoul,Online games,Media & Entertainment,Smilegate Holdings,TRUE,D,M,Kwon,Hyuk-bin,,04-04-2023 05:01,South Korea,,,1974,1,1,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922
523,5100,Finance & Investments,Sami Mnaymneh,United States,Miami Beach,Private equity,Finance & Investments,,TRUE,U,M,Mnaymneh,Sami,,04-04-2023 05:01,United States,Florida,South,1961,7,13,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
523,5100,Logistics,Kjell Inge Rokke,Norway,Vettre,"Shipping, seafood",Logistics,,TRUE,D,M,Rokke,Kjell Inge,,04-04-2023 05:01,Norway,,,1958,10,25,120.27,2.2,"$403,336,363,636 ",82,100.3,82.8,23.9,36.2,5347896,60.472024,8.468946
523,5100,Finance & Investments,Tony Tamer,United States,New York,Private equity,Finance & Investments,,TRUE,U,M,Tamer,Tony,,04-04-2023 05:01,United States,New York,Northeast,1957,10,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
523,5100,Healthcare,Tse Ping & family,Hong Kong,Hong Kong,Pharmaceuticals,Healthcare,,TRUE,D,M,Tse,Ping,,04-04-2023 05:01,China,,,1952,1,3,,,,,,,,,,,
523,5100,Technology,Romesh T. Wadhwani,United States,Palo Alto,Software,Technology,Symphony Technology Group,TRUE,U,M,Wadhwani,Romesh T.,Founder and Chairman,04-04-2023 05:01,United States,California,West,1947,8,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
523,5100,Healthcare,Hansjoerg Wyss,United States,Wilson,Medical devices,Healthcare,,TRUE,U,M,Wyss,Hansjoerg,,04-04-2023 05:01,Switzerland,Wyoming,South,1935,1,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
523,5100,Sports,Denise York & family,United States,Youngstown,San Francisco 49ers,Sports,San Francisco 49ers,FALSE,U,F,York,Denise,Co-Chairman,04-04-2023 05:01,United States,Ohio,Midwest,1950,10,21,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
534,5000,Finance & Investments,Ron Baron,United States,New York,Money management,Finance & Investments,,TRUE,U,M,Baron,Ron,,04-04-2023 05:01,United States,New York,Northeast,1943,5,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
534,5000,Energy,Robert Bass,United States,Fort Worth,"Oil, investments",Energy,,FALSE,D,M,Bass,Robert,,04-04-2023 05:01,United States,Texas,South,1948,3,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
534,5000,Healthcare,Dona Bertarelli,Switzerland,Gstaad,Biotech and investments,Healthcare,,FALSE,U,F,Bertarelli,Dona,,04-04-2023 05:01,Switzerland,,,1968,1,1,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
534,5000,Finance & Investments,Alexander Gerko,United Kingdom,London,Trading,Finance & Investments,,TRUE,N,M,Gerko,Alexander,,04-04-2023 05:01,United Kingdom,,,1979,12,3,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
534,5000,Technology,Martin Haefner,Switzerland,Zurich,"Software, investments",Technology,,FALSE,U,M,Haefner,Martin,,04-04-2023 05:01,Switzerland,,,1954,1,1,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
534,5000,Telecom,"Robert Hale, Jr.",United States,Boston,Telecom,Telecom,,TRUE,U,M,Hale,Robert,,04-04-2023 05:01,United States,Massachusetts,Northeast,1966,7,8,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
534,5000,Healthcare,Viktor Kharitonin,Russia,Moscow,Pharmaceuticals,Healthcare,,TRUE,U,M,Kharitonin,Viktor,,04-04-2023 05:01,Russia,,,1972,11,20,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
534,5000,Technology,Kim Beom-su,South Korea,Seoul,Online services,Technology,,TRUE,D,M,Kim,Beom-su,,04-04-2023 05:01,South Korea,,,1966,3,27,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922
534,5000,Fashion & Retail,Jane Lauder,United States,New York,Estée Lauder,Fashion & Retail,,FALSE,D,F,Lauder,Jane,,04-04-2023 05:01,United States,New York,Northeast,1973,1,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
534,5000,Fashion & Retail,Michel Leclercq & family,France,Lille,Sporting goods,Fashion & Retail,,FALSE,U,M,Leclercq,Michel,,04-04-2023 05:01,France,,,1939,5,27,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
534,5000,Media & Entertainment,George Lucas,United States,San Anselmo,Star Wars,Media & Entertainment,,TRUE,D,M,Lucas,George,,04-04-2023 05:01,United States,California,West,1944,5,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
534,5000,Sports,Janice McNair,United States,Houston,"Energy, sports",Sports,,FALSE,U,F,McNair,Janice,,04-04-2023 05:01,United States,Texas,South,1936,9,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
534,5000,Healthcare,Ugur Sahin,Germany,Mainz,Biotechnology,Healthcare,,TRUE,D,M,Sahin,Ugur,,04-04-2023 05:01,Germany,,,1965,9,19,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
534,5000,Real Estate,Alexandra Schoerghuber & family,Germany,Munich,Real estate,Real Estate,,FALSE,U,F,Schoerghuber,Alexandra,,04-04-2023 05:01,Germany,,,1958,7,24,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
534,5000,Healthcare,Thomas Straumann,Switzerland,Basel,Dental implants,Healthcare,,FALSE,D,M,Straumann,Thomas,,04-04-2023 05:01,Switzerland,,,1963,7,22,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
534,5000,Food & Beverage,Murat Ulker,Turkey,Istanbul,Food,Food & Beverage,,FALSE,U,M,Ulker,Murat,,04-04-2023 05:01,Turkey,,,1959,3,23,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322
534,5000,Fashion & Retail,Chip Wilson,Canada,Vancouver,Lululemon,Fashion & Retail,Lululemon,TRUE,D,M,Wilson,Chip,Chairman,04-04-2023 05:01,Canada,,,1957,1,1,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
534,5000,Real Estate,Zhu Yan & family,China,Beijing,Real estate,Real Estate,,FALSE,U,F,Zhu,Yan,,04-04-2023 05:01,China,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
552,4900,Manufacturing,Jim Davis & family,United States,Newton,New Balance,Manufacturing,New Balance,TRUE,D,M,Davis,Jim,Chairman,04-04-2023 05:01,United States,Massachusetts,Northeast,1943,5,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
552,4900,Healthcare,Murali Divi & family,India,Hyderabad,Pharmaceuticals,Healthcare,,TRUE,D,M,Divi,Murali,,04-04-2023 05:01,India,,,1951,3,17,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
552,4900,Technology,Dagmar Dolby & family,United States,San Francisco,Dolby Laboratories,Technology,,FALSE,U,F,Dolby,Dagmar,,04-04-2023 05:01,United States,California,West,1941,6,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
552,4900,Technology,Marcos Galperin,Argentina,Buenos Aires,E-commerce,Technology,,TRUE,U,M,Galperin,Marcos,,04-04-2023 05:01,Argentina,,,,,,232.75,53.5,"$449,663,446,954 ",90,109.7,76.5,10.1,106.3,44938712,-38.416097,-63.616672
552,4900,Service,Tom Golisano,United States,Naples,Payroll services,Service,,TRUE,D,M,Golisano,Tom,,04-04-2023 05:01,United States,Florida,South,1941,11,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
552,4900,Finance & Investments,Jonathan Gray,United States,New York,Investments,Finance & Investments,,TRUE,D,M,Gray,Jonathan,,04-04-2023 05:01,United States,New York,Northeast,1970,2,4,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
552,4900,Finance & Investments,Bidzina Ivanishvili,Georgia,Tbilisi,Investments,Finance & Investments,,TRUE,U,M,Ivanishvili,Bidzina,,04-04-2023 05:01,Georgia,,,1956,2,18,133.61,4.9,"$17,743,195,770 ",63.9,98.6,73.6,21.7,9.9,3720382,42.315407,43.356892
552,4900,Metals & Mining,Lim Hariyanto Wijaya Sarwono,Indonesia,Jakarta,"Palm oil, nickel mining",Metals & Mining,,TRUE,U,M,Lim,Hariyanto Wijaya Sarwono,,04-04-2023 05:01,Indonesia,,,1928,11,1,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
552,4900,Healthcare,Rudolf Maag,Switzerland,Binningen,Medical devices,Healthcare,,TRUE,D,M,Maag,Rudolf,,04-04-2023 05:01,Switzerland,,,1946,1,31,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
552,4900,Food & Beverage,Emanuele (Lino) Saputo & family,Canada,Montreal,Cheese,Food & Beverage,Saputo,FALSE,U,M,Saputo,Emanuele (Lino),Chairman,04-04-2023 05:01,Canada,,,1937,1,1,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
552,4900,Automotive,Mark Shoen,United States,Phoenix,U-Haul,Automotive,,FALSE,U,M,Shoen,Mark,,04-04-2023 05:01,United States,Arizona,West,1950,11,20,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
552,4900,Sports,Dan Snyder,United States,Potomac,Washington Commanders,Sports,,TRUE,U,M,Snyder,Dan,,04-04-2023 05:01,United States,Maryland,South,1964,11,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
552,4900,Diversified,Chairul Tanjung,Indonesia,Jakarta,Diversified,Diversified,,TRUE,D,M,Tanjung,Chairul,,04-04-2023 05:01,Indonesia,,,1962,6,18,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
552,4900,Energy,Kelcy Warren,United States,Dallas,Pipelines,Energy,,TRUE,U,M,Warren,Kelcy,,04-04-2023 05:01,United States,Texas,South,1955,11,9,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
552,4900,Fashion & Retail,Zhang Tao,China,Beijing,E-commerce,Fashion & Retail,,TRUE,D,M,Zhang,Tao,,04-04-2023 05:01,China,,,1972,11,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
567,4800,Fashion & Retail,Michael Ashley,United Kingdom,Hertfordshire,Sports retailing,Fashion & Retail,,TRUE,U,M,Ashley,Michael,,04-04-2023 05:01,United Kingdom,,,1964,9,12,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
567,4800,Fashion & Retail,Tomasz Biernacki,Poland,"Krotoszyn,",Supermarkets,Fashion & Retail,,TRUE,U,M,Biernacki,Tomasz,,04-04-2023 05:01,Poland,,,1973,1,1,114.11,2.2,"$592,164,400,688 ",67.8,100,77.6,17.4,40.8,37970874,51.919438,19.145136
567,4800,Healthcare,Bernard Broermann,Germany,Koenigstein,Hospitals,Healthcare,,TRUE,U,M,Broermann,Bernard,,04-04-2023 05:01,Germany,,,1943,11,22,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
567,4800,Fashion & Retail,Jimmy Haslam,United States,Knoxville,"Gas stations, retail",Fashion & Retail,Pilot Flying J,FALSE,U,M,Haslam,Jimmy,CEO,04-04-2023 05:01,United States,Tennessee,South,1954,3,9,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
567,4800,Manufacturing,H. Fisk Johnson,United States,Racine,Cleaning products,Manufacturing,,FALSE,U,M,Johnson,H. Fisk,,04-04-2023 05:01,United States,Wisconsin,Midwest,1958,5,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
567,4800,Manufacturing,S. Curtis Johnson,United States,Racine,Cleaning products,Manufacturing,,FALSE,U,M,Johnson,S. Curtis,,04-04-2023 05:01,United States,Wisconsin,Midwest,1955,5,5,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
567,4800,Manufacturing,Helen Johnson-Leipold,United States,Racine,Cleaning products,Manufacturing,,FALSE,U,F,Johnson-Leipold,Helen,,04-04-2023 05:01,United States,Wisconsin,Midwest,1956,12,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
567,4800,Technology,Vinod Khosla,United States,Portola Valley,Venture capital,Technology,Khosla Ventures,TRUE,D,M,Khosla,Vinod,Investor,04-04-2023 05:01,United States,California,West,1955,1,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
567,4800,Technology,Thai Lee,United States,Austin,IT provider,Technology,,TRUE,U,F,Lee,Thai,,04-04-2023 05:01,United States,Texas,South,1958,11,27,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
567,4800,Manufacturing,Winifred J. Marquart,United States,Virginia Beach,Cleaning products,Manufacturing,,FALSE,U,F,Marquart,Winifred J.,,04-04-2023 05:01,United States,Virginia,South,1959,4,6,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
567,4800,Healthcare,Pankaj Patel,India,Ahmedabad,Pharmaceuticals,Healthcare,,FALSE,U,M,Patel,Pankaj,,04-04-2023 05:01,India,,,1953,3,19,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
567,4800,Manufacturing,Horst Julius Pudwill,Hong Kong,Hong Kong,Manufacturing,Manufacturing,,TRUE,D,M,Pudwill,Horst Julius,,04-04-2023 05:01,Germany,,,1944,10,23,,,,,,,,,,,
567,4800,Finance & Investments,Yu Yong,China,Shanghai,Mining,Finance & Investments,,TRUE,U,M,Yu,Yong,,04-04-2023 05:01,China,,,1961,2,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
580,4700,Diversified,Maria Fernanda Amorim & family,Portugal,Grijo,"Energy, investments",Diversified,,FALSE,E,F,Amorim,Maria Fernanda,,04-04-2023 05:01,Portugal,,,1935,1,16,110.62,0.3,"$237,686,075,635 ",63.9,106.2,81.3,22.8,39.8,10269417,39.399872,-8.224454
580,4700,Sports,Gayle Benson,United States,New Orleans,New Orleans Saints,Sports,,FALSE,U,F,Benson,Gayle,,04-04-2023 05:01,United States,Louisiana,South,1947,1,26,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
580,4700,Technology,Jason Chang,Taiwan,Taipei,Electronics,Technology,,TRUE,U,M,Chang,Jason,,04-04-2023 05:01,Singapore,,,1944,5,1,,,,,,,,,,,
580,4700,Manufacturing,Ali Erdemoglu,Turkey,Istanbul,Carpet,Manufacturing,,TRUE,U,M,Erdemoglu,Ali,,04-04-2023 05:01,Turkey,,,1959,11,20,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322
580,4700,Finance & Investments,Andre Esteves,Brazil,Sao paulo,Banking,Finance & Investments,,TRUE,D,M,Esteves,Andre,,04-04-2023 05:01,Brazil,,,1968,7,12,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528
580,4700,Real Estate,Carlo Fidani,Canada,Toronto,Real estate,Real Estate,Orlando Corporation,FALSE,U,M,Fidani,Carlo,Chairman,04-04-2023 05:01,Canada,,,1955,1,1,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
580,4700,Technology,Hong Ra-hee,South Korea,Seoul,Samsung,Technology,,FALSE,D,F,Hong,Ra-hee,,04-04-2023 05:01,South Korea,,,1945,7,15,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922
580,4700,Manufacturing,Li Gaiteng,China,Shanghai,Hair dryers,Manufacturing,,TRUE,U,M,Li,Gaiteng,,04-04-2023 05:01,China,,,1972,4,8,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
580,4700,Media & Entertainment,Thomas Secunda,United States,Croton-on-Hudson,Bloomberg LP,Media & Entertainment,,TRUE,U,M,Secunda,Thomas,,04-04-2023 05:01,United States,New York,Northeast,1954,6,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
580,4700,Diversified,Zuowen Song,China,Longkou,"Aluminum, diversified",Diversified,,TRUE,U,M,Song,Zuowen,,04-04-2023 05:01,China,,,1947,3,19,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
580,4700,Media & Entertainment,Tim Sweeney,United States,Cary,Video games,Media & Entertainment,,TRUE,D,M,Sweeney,Tim,,04-04-2023 05:01,United States,North Carolina,South,1970,12,13,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
